"aerolinea","origen","destino","dia","mes","anio","genero","razon","estancia","transporte","conexion","tiempoEspera"
"Volaris","JFK","SJC",10,9,2023,"Mujer","Vacaciones/placer","Casa","Taxi del aeropuerto","Es de conexion",37
"VivaAerobus","JFK","PDX",6,11,2023,"Hombre","Vuelta a casa","Amigos","Taxi del aeropuerto","No es de conexion",174
"Aeromar","SJC","PDX",4,12,2023,"Hombre","Trabajo","Amigos","Transporte público","No es de conexion",212
"Aeromar","GDL","PDX",26,4,2023,"Mujer","Vuelta a casa","Casa","Recogida","Es de conexion",169
"VivaAerobus","JFK","PDX",22,6,2023,"Mujer","Vacaciones/placer","Hotel","Transporte público","No es de conexion",66
"Volaris","SJC","GDL",21,10,2023,"Hombre","Trabajo","Amigos","Transporte público","No es de conexion",110
"Aeromar","JFK","GDL",13,9,2023,"Prefiero no decirlo","Vacaciones/placer","Amigos","Renta de autos","No es de conexion",55
"VivaAerobus","JFK","PDX",6,5,2023,"Hombre","Vuelta a casa","Amigos","Renta de autos","Es de conexion",35
"VivaAerobus","JFK","PDX",16,7,2023,"Hombre","Vacaciones/placer","Casa","Transporte público","No es de conexion",235
"Interjet","SJC","JFK",28,1,2023,"Mujer","Vacaciones/placer","Amigos","Renta de autos","No es de conexion",236
"Aeromar","LAX","JFK",18,2,2023,"Mujer","Trabajo","Casa","Auto propio","No es de conexion",38
"Aeromar","GDL","PDX",11,11,2023,"Mujer","Trabajo","Casa","Renta de autos","Es de conexion",55
"Volaris","JFK","SJC",5,11,2023,"Prefiero no decirlo","Trabajo","Amigos","Transporte público","Es de conexion",210
"Volaris","GDL","SJC",12,11,2023,"Mujer","Vuelta a casa","Casa","Transporte público","Es de conexion",54
"VivaAerobus","LAX","SJC",19,5,2023,"Hombre","Trabajo","Casa","Renta de autos","No es de conexion",222
"VivaAerobus","LAX","PDX",5,8,2023,"Hombre","Vuelta a casa","Amigos","Taxi del aeropuerto","No es de conexion",71
"Interjet","SJC","GDL",7,9,2023,"Mujer","Vuelta a casa","Amigos","Recogida","No es de conexion",48
"Volaris","LAX","SJC",2,9,2023,"Mujer","Trabajo","Hotel","Recogida","Es de conexion",152
"Aeroméxico","PDX","JFK",7,11,2023,"Prefiero no decirlo","Vuelta a casa","Hotel","Taxi del aeropuerto","No es de conexion",61
"Interjet","LAX","GDL",3,2,2023,"Hombre","Trabajo","Casa","Renta de autos","Es de conexion",47
"Interjet","JFK","SJC",29,4,2023,"Hombre","Trabajo","Hotel","Transporte público","Es de conexion",227
"Aeroméxico","LAX","PDX",6,10,2023,"Prefiero no decirlo","Trabajo","Casa","Renta de autos","No es de conexion",69
"VivaAerobus","GDL","SJC",5,2,2023,"Prefiero no decirlo","Trabajo","Hotel","Taxi del aeropuerto","No es de conexion",75
"VivaAerobus","PDX","SJC",25,3,2023,"Prefiero no decirlo","Vacaciones/placer","Amigos","Auto propio","Es de conexion",178
"Volaris","JFK","GDL",25,6,2023,"Mujer","Vacaciones/placer","Hotel","Recogida","No es de conexion",209
"Volaris","LAX","PDX",15,3,2023,"Prefiero no decirlo","Vuelta a casa","Amigos","Recogida","No es de conexion",172
"VivaAerobus","LAX","GDL",19,11,2023,"Mujer","Vacaciones/placer","Hotel","Renta de autos","Es de conexion",130
"Volaris","JFK","SJC",1,10,2023,"Mujer","Vuelta a casa","Hotel","Auto propio","No es de conexion",100
"Aeroméxico","LAX","GDL",16,6,2023,"Hombre","Vacaciones/placer","Hotel","Renta de autos","Es de conexion",153
"Aeromar","PDX","GDL",12,9,2023,"Mujer","Vacaciones/placer","Casa","Taxi del aeropuerto","Es de conexion",212
"Aeroméxico","LAX","PDX",9,4,2023,"Hombre","Vuelta a casa","Amigos","Renta de autos","Es de conexion",187
"Aeromar","GDL","SJC",26,11,2023,"Mujer","Trabajo","Amigos","Taxi del aeropuerto","Es de conexion",82
"Volaris","PDX","JFK",27,6,2023,"Hombre","Trabajo","Casa","Taxi del aeropuerto","Es de conexion",116
"Volaris","SJC","JFK",17,2,2023,"Hombre","Vuelta a casa","Hotel","Transporte público","Es de conexion",160
"Aeromar","LAX","JFK",3,5,2023,"Prefiero no decirlo","Vacaciones/placer","Casa","Transporte público","Es de conexion",62
"Volaris","JFK","PDX",22,7,2023,"Hombre","Vacaciones/placer","Amigos","Renta de autos","Es de conexion",197
"Aeroméxico","PDX","LAX",19,3,2023,"Mujer","Vuelta a casa","Hotel","Recogida","Es de conexion",168
"Interjet","JFK","PDX",28,3,2023,"Mujer","Vuelta a casa","Casa","Renta de autos","No es de conexion",141
"Volaris","LAX","GDL",25,5,2023,"Mujer","Trabajo","Amigos","Auto propio","No es de conexion",146
"Aeromar","PDX","SJC",2,1,2023,"Mujer","Trabajo","Amigos","Taxi del aeropuerto","No es de conexion",85
"Interjet","PDX","JFK",9,3,2023,"Hombre","Vacaciones/placer","Amigos","Auto propio","Es de conexion",126
"Aeroméxico","LAX","PDX",2,3,2023,"Prefiero no decirlo","Trabajo","Casa","Taxi del aeropuerto","Es de conexion",153
"Aeroméxico","LAX","SJC",3,4,2023,"Prefiero no decirlo","Vuelta a casa","Amigos","Transporte público","No es de conexion",58
"Volaris","GDL","SJC",7,3,2023,"Prefiero no decirlo","Trabajo","Hotel","Transporte público","Es de conexion",187
"VivaAerobus","PDX","SJC",26,7,2023,"Mujer","Vacaciones/placer","Amigos","Recogida","Es de conexion",188
"Aeromar","JFK","PDX",22,9,2023,"Mujer","Trabajo","Hotel","Transporte público","No es de conexion",154
"Aeromar","GDL","PDX",8,12,2023,"Mujer","Vuelta a casa","Hotel","Recogida","Es de conexion",152
"Aeroméxico","PDX","SJC",28,1,2023,"Hombre","Vacaciones/placer","Hotel","Auto propio","Es de conexion",136
"Volaris","JFK","GDL",17,10,2023,"Hombre","Vuelta a casa","Amigos","Taxi del aeropuerto","No es de conexion",35
"Interjet","SJC","PDX",15,2,2023,"Mujer","Trabajo","Amigos","Recogida","No es de conexion",109
"Aeroméxico","JFK","LAX",1,12,2023,"Hombre","Trabajo","Hotel","Taxi del aeropuerto","No es de conexion",191
"Aeroméxico","SJC","LAX",16,6,2023,"Hombre","Trabajo","Casa","Transporte público","Es de conexion",121
"VivaAerobus","JFK","SJC",1,12,2023,"Prefiero no decirlo","Trabajo","Hotel","Auto propio","No es de conexion",120
"Volaris","JFK","LAX",5,11,2023,"Mujer","Trabajo","Casa","Renta de autos","No es de conexion",120
"Aeroméxico","LAX","GDL",28,2,2023,"Hombre","Trabajo","Hotel","Taxi del aeropuerto","No es de conexion",229
"Interjet","SJC","JFK",16,10,2023,"Hombre","Vacaciones/placer","Hotel","Taxi del aeropuerto","Es de conexion",134
